method,channel,credit,truth,error
last_touch,display,0.0103,0.0457,-0.0354
last_touch,social,0.0167,0.1027,-0.086
last_touch,email,0.1173,0.1598,-0.0425
last_touch,paid_search,0.2523,0.2055,0.0468
last_touch,affiliate,0.0428,0.0685,-0.0257
last_touch,influencer,0.0089,0.0799,-0.071
last_touch,podcast,0.0054,0.0571,-0.0517
last_touch,ctv,0.0044,0.0639,-0.0595
last_touch,push,0.0805,0.0411,0.0394
last_touch,sms,0.0921,0.0502,0.0419
last_touch,shopping_feed,0.1698,0.1256,0.0442
last_touch,retargeting,0.1996,0.0,0.1996
first_touch,display,0.3271,0.0457,0.2814
first_touch,social,0.1692,0.1027,0.0665
first_touch,email,0.0569,0.1598,-0.1029
first_touch,paid_search,0.0294,0.2055,-0.1761
first_touch,affiliate,0.0455,0.0685,-0.023
first_touch,influencer,0.1052,0.0799,0.0253
first_touch,podcast,0.097,0.0571,0.0399
first_touch,ctv,0.0978,0.0639,0.0339
first_touch,push,0.0215,0.0411,-0.0196
first_touch,sms,0.0191,0.0502,-0.0311
first_touch,shopping_feed,0.0151,0.1256,-0.1105
first_touch,retargeting,0.0163,0.0,0.0163
linear,display,0.1138,0.0457,0.0681
linear,social,0.1055,0.1027,0.0028
linear,email,0.1369,0.1598,-0.0229
linear,paid_search,0.135,0.2055,-0.0705
linear,affiliate,0.0773,0.0685,0.0088
linear,influencer,0.0569,0.0799,-0.023
linear,podcast,0.0396,0.0571,-0.0175
linear,ctv,0.037,0.0639,-0.0269
linear,push,0.0651,0.0411,0.024
linear,sms,0.0631,0.0502,0.0129
linear,shopping_feed,0.08,0.1256,-0.0456
linear,retargeting,0.09,0.0,0.09
time_decay,display,0.0629,0.0457,0.0172
time_decay,social,0.0751,0.1027,-0.0276
time_decay,email,0.1504,0.1598,-0.0094
time_decay,paid_search,0.1722,0.2055,-0.0333
time_decay,affiliate,0.0777,0.0685,0.0092
time_decay,influencer,0.0389,0.0799,-0.041
time_decay,podcast,0.0244,0.0571,-0.0327
time_decay,ctv,0.0217,0.0639,-0.0422
time_decay,push,0.0764,0.0411,0.0353
time_decay,sms,0.0763,0.0502,0.0261
time_decay,shopping_feed,0.1049,0.1256,-0.0207
time_decay,retargeting,0.119,0.0,0.119
markov_removal,display,0.0,0.0457,-0.0457
markov_removal,social,0.0101,0.1027,-0.0926
markov_removal,email,0.0,0.1598,-0.1598
markov_removal,paid_search,0.6472,0.2055,0.4417
markov_removal,affiliate,0.0038,0.0685,-0.0647
markov_removal,influencer,0.0,0.0799,-0.0799
markov_removal,podcast,0.0,0.0571,-0.0571
markov_removal,ctv,0.0,0.0639,-0.0639
markov_removal,push,0.0056,0.0411,-0.0355
markov_removal,sms,0.0,0.0502,-0.0502
markov_removal,shopping_feed,0.2167,0.1256,0.0911
markov_removal,retargeting,0.1166,0.0,0.1166
shapley,display,0.0296,0.0457,-0.0161
shapley,social,0.0917,0.1027,-0.011
shapley,email,0.12,0.1598,-0.0398
shapley,paid_search,0.1501,0.2055,-0.0554
shapley,affiliate,0.0854,0.0685,0.0169
shapley,influencer,0.0695,0.0799,-0.0104
shapley,podcast,0.0569,0.0571,-0.0002
shapley,ctv,0.0471,0.0639,-0.0168
shapley,push,0.0706,0.0411,0.0295
shapley,sms,0.0727,0.0502,0.0225
shapley,shopping_feed,0.0999,0.1256,-0.0257
shapley,retargeting,0.1065,0.0,0.1065
truth,display,0.0457,0.0457,0.0
truth,social,0.1027,0.1027,0.0
truth,email,0.1598,0.1598,0.0
truth,paid_search,0.2055,0.2055,0.0
truth,affiliate,0.0685,0.0685,0.0
truth,influencer,0.0799,0.0799,0.0
truth,podcast,0.0571,0.0571,0.0
truth,ctv,0.0639,0.0639,0.0
truth,push,0.0411,0.0411,0.0
truth,sms,0.0502,0.0502,0.0
truth,shopping_feed,0.1256,0.1256,0.0
truth,retargeting,0.0,0.0,0.0
