channel,converters_touched,mean_clv,median_clv,total_clv,clv_index
display,1399,1328.41,384.45,1858451.34,1.054
social,1175,1265.97,376.36,1487516.49,1.005
email,1512,1235.8,370.37,1868525.48,0.981
paid_search,1491,940.71,357.6,1402596.37,0.746
affiliate,987,1343.41,369.07,1325945.81,1.066
influencer,777,1197.27,373.49,930280.7,0.95
podcast,539,1418.19,362.19,764405.93,1.125
ctv,503,1052.82,385.79,529570.4,0.835
push,816,1250.23,369.27,1020191.12,0.992
sms,819,1047.28,377.84,857721.23,0.831
shopping_feed,978,1005.8,354.63,983674.15,0.798
retargeting,1080,2037.42,665.03,2200410.71,1.617
