customer_id,segment,predicted_clv,holdout_spend,cal_frequency,recency_days
0,Segment 0,131.87,0.0,1,337.0
1,Segment 2,1273.76,2486.57,3,54.0
2,Segment 2,809.94,270.0,3,56.0
3,Segment 4,459.87,1457.55,1,215.0
4,Segment 2,272.91,0.0,0,118.0
5,Segment 2,203.57,0.0,0,183.0
6,Segment 2,668.63,744.23,4,70.0
7,Segment 2,262.97,0.0,1,12.0
8,Segment 2,462.64,0.0,0,40.0
9,Segment 4,291.84,0.0,1,22.0
10,Segment 2,2805.09,58.35,4,53.0
11,Segment 2,193.73,6207.67,0,196.0
12,Segment 4,377.7,928.06,2,183.0
13,Segment 4,1247.27,3789.87,7,113.0
14,Segment 4,793.5,1378.48,3,8.0
15,Segment 4,227.03,0.0,3,95.0
16,Segment 2,721.27,3786.14,1,33.0
17,Segment 2,424.68,252.9,0,50.0
18,Segment 2,303.14,0.0,0,99.0
19,Segment 0,101.45,0.0,0,441.0
20,Segment 0,102.45,0.0,0,436.0
21,Segment 4,448.6,0.0,2,221.0
22,Segment 4,986.92,739.28,4,82.0
23,Segment 4,464.79,1527.96,1,217.0
24,Segment 2,748.0,353.12,1,20.0
25,Segment 4,280.46,0.0,2,119.0
26,Segment 0,312.54,622.93,1,229.0
27,Segment 2,181.48,0.0,1,197.0
28,Segment 4,835.02,0.0,3,123.0
29,Segment 0,117.69,4008.62,0,370.0
30,Segment 0,250.7,775.29,1,230.0
31,Segment 1,908.07,2423.56,2,273.0
32,Segment 2,978.34,69.45,3,46.0
33,Segment 2,200.43,0.0,0,187.0
34,Segment 2,292.49,0.0,1,145.0
35,Segment 2,176.07,0.0,0,223.0
36,Segment 4,661.75,2014.41,4,83.0
37,Segment 0,463.19,0.0,2,210.0
38,Segment 4,458.22,439.66,3,272.0
39,Segment 0,110.47,0.0,0,399.0
40,Segment 2,1070.08,521.5,4,53.0
41,Segment 2,534.4,729.4,0,25.0
42,Segment 4,855.85,1290.36,8,19.0
43,Segment 0,93.97,0.0,0,482.0
44,Segment 4,575.19,309.7,4,21.0
45,Segment 2,176.66,0.0,0,222.0
46,Segment 2,283.32,0.0,0,111.0
47,Segment 4,404.5,0.0,5,131.0
48,Segment 0,129.68,391.7,0,329.0
49,Segment 4,602.4,3280.75,2,207.0
50,Segment 2,652.9,1056.16,1,43.0
51,Segment 1,964.07,1854.31,3,68.0
52,Segment 4,1717.12,11056.93,2,228.0
53,Segment 1,352.86,0.0,1,116.0
54,Segment 2,179.71,0.0,0,217.0
55,Segment 1,334.3,1142.88,2,210.0
56,Segment 2,514.27,176.2,2,44.0
57,Segment 2,621.91,0.0,2,25.0
58,Segment 3,29631.88,73697.98,9,11.0
59,Segment 0,97.11,0.0,0,464.0
60,Segment 4,1212.35,1934.07,14,33.0
61,Segment 4,401.13,668.58,2,221.0
62,Segment 2,234.07,0.0,1,193.0
63,Segment 2,289.04,509.59,2,127.0
64,Segment 4,937.52,445.06,9,132.0
65,Segment 2,1037.39,407.34,6,8.0
66,Segment 4,479.52,1760.96,1,230.0
67,Segment 1,158.42,777.2,0,256.0
68,Segment 4,255.87,0.0,1,2.0
69,Segment 1,206.8,389.82,0,179.0
70,Segment 2,1032.07,1280.97,3,50.0
71,Segment 4,1160.17,1868.92,3,35.0
72,Segment 4,1966.43,3260.76,16,8.0
73,Segment 4,2310.82,9588.75,4,174.0
74,Segment 1,383.1,519.89,1,68.0
75,Segment 4,2588.23,3850.9,4,75.0
76,Segment 4,2509.11,2688.32,25,6.0
77,Segment 0,71.09,0.0,1,490.0
78,Segment 1,134.67,0.0,1,270.0
79,Segment 2,210.98,0.0,0,174.0
80,Segment 0,85.09,0.0,0,540.0
81,Segment 1,173.14,77.4,0,228.0
82,Segment 2,421.23,0.0,0,51.0
83,Segment 2,163.38,3596.29,0,246.0
